"id","mechanism","percentage","n","moderator","method","qp_full_power","rp_full_power","coefp_full_power","qp_recovered_power","rp_recovered_power","coefp_recovered_power","MSE_full","coef_bias_full","coef_var_full","deviance_full","MSE_recovered","coef_bias_recovered","coef_var_recovered","deviance_recovered"
1,"mcar",0.1,10,"1c","CC",0.05,0.054,0.054,0.059,0.044,0.044,0.174934726048356,-0.0135504919045421,0.110123915629077,7.32963285081302,0.176299823783814,-0.0153465992904349,0.128977820383809,6.26869476193271
2,"mar",0.1,10,"1c","CC",0.061,0.067,0.067,0.074,0.061,0.061,0.177960084687193,-0.00102782703297601,0.110746586910467,7.42228905273715,0.179184523907127,-0.0138080759142203,0.127272888060709,6.34268643174145
3,"mnar",0.1,10,"1c","CC",0.071,0.054,0.054,0.062,0.062,0.062,0.187321054861263,0.000741645888988108,0.113115631260169,7.72419951986869,0.18826155169819,0.002488196116616,0.127920032482086,6.58320242945457
4,"mcar",0.25,10,"1c","CC",0.077,0.068,0.068,0.068,0.057,0.057,0.181428965314356,0.00578637530596477,0.111266785484373,7.53691912010245,0.181963485072867,0.00817451745254003,0.154333754338346,5.30457381117797
5,"mar",0.25,10,"1c","CC",0.052,0.06,0.06,0.05,0.045,0.045,0.179277107735362,-4.21741776373963e-05,0.111532735432173,7.46859603225597,0.172901879292783,-0.0336073710331205,0.146856313573966,5.11710342799945
6,"mnar",0.25,10,"1c","CC",0.062,0.079,0.079,0.06,0.063,0.063,0.179861059378969,0.00427631762902684,0.110976164703242,7.49625656115542,0.181648255878211,0.0044028406104933,0.146121799647873,5.30523717129637
7,"mcar",0.4,10,"1c","CC",0.068,0.059,0.059,0.053,0.054,0.054,0.179823799438644,0.000304528866223228,0.111484952660732,7.49218578693804,0.18231400387582,-0.00439388111707786,0.23127849922962,3.09647573356871
8,"mar",0.4,10,"1c","CC",0.064,0.055,0.055,0.06,0.042,0.042,0.182626867812373,-0.000450655707441848,0.111813193479532,7.57492266966117,0.179741710068891,-0.0414406863301426,0.223339814563596,3.05701503164431
9,"mnar",0.4,10,"1c","CC",0.066,0.057,0.057,0.065,0.049,0.049,0.184440607113925,0.000680714011379597,0.112909675950791,7.61945593293275,0.185358460828872,-0.00400640399688504,0.211597918347231,3.115723747687
10,"mcar",0.1,25,"1c","CC",0.071,0.114,0.114,0.075,0.111,0.111,0.181635143546178,-0.00182561090392003,0.0406528688855004,24.4831393016174,0.181112503450431,-0.000728989988453572,0.0447846417109329,22.1603828350843
